Ticker,p,d,q,garch1,garch2,predmean,predsd
CLS,0,1,0,2,2,77.0502401590724,0.703653239933837
CMC,0,1,1,2,2,106.444083245319,1.16350709755365
CMCSA-CableLLC,1,1,2,2,2,33.6396807705037,0.510823614017023
CMCSA,4,1,0,2,2,17.8595339629796,0.430467877743987
CMS,3,1,2,2,2,25.4328622488085,1.19311450702109
CNAFNL,1,1,2,2,2,30.6414391683091,0.622754206150309
CNP-EnRes,5,1,4,2,2,21.7091791572066,0.248925845672585
CNP,2,1,3,2,2,21.7807911778405,0.304399768366786
CNRCN,0,1,0,2,2,8.21928930567514,0.203487315306698
COF,1,1,0,2,2,30.2270599774148,0.442390196989865
COOPER,5,1,5,1,1,133.508430063408,2.40135238952581
COP,2,1,2,2,2,14.2778876188741,0.473906066400686
COX-CommInc,1,1,1,0,0,28.3452900361074,3.30264329311582
CPB,1,1,2,2,2,35.9958250322745,0.724329077763389
CSC,3,1,0,2,2,41.889881515815,2.28549051708186
CSX,3,1,1,2,2,12.6406518375649,0.431479587980645
CTX,0,1,2,2,2,19.3469936146709,0.644445635121544
CUM,3,1,2,2,2,15.4824515727405,0.256048128106448
D,3,1,3,1,1,17.5648313037392,0.484554813310429
DD,1,1,1,1,1,20.5796641486159,0.856594836385193
DDS,3,1,4,0,0,78.68476,15.77313
DE-JohnDeCap,1,1,1,2,2,19.1222903943801,0.474199978826384
DE,1,1,1,1,1,16.8270210520446,0.602515284719214
DELLN,3,1,2,2,2,95.1236879855081,3.17565736197715
DHI,1,1,1,2,2,89.0140682589052,3.2033342835197
DHR,2,1,2,2,2,21.4605752266659,0.184774483225322
DIS,1,1,2,2,2,9.81734949006992,0.243135590337436
DO,5,1,4,1,1,63.4803255428705,1.88570037533353
DOL,1,1,2,0,0,179.042362290249,28.0359168360054
DOW,3,1,5,1,1,31.5535233567385,0.69844534086144
DPL,1,1,0,2,2,175.426226111724,2.43400945202609
DTE,3,1,1,2,2,26.0548704724518,0.577787615509724
DTV-Hldgs,0,1,1,2,2,25.9328377395503,0.940571399214968
DVN,0,1,1,2,2,30.4026233020916,1.07599847042259
EMN,3,1,3,1,1,36.5730412570361,0.901714867452547
EMR,3,1,2,2,2,26.2215895244227,0.880253337382718
ENB,2,1,2,2,2,40.3754946985014,0.54398562246836
EOP-EOPOpLP,3,1,3,2,2,20.1262856440921,0.471944405275671
EQR-ERPOperLP,1,1,2,2,2,28.3024797809506,0.629539228426836
ETN,3,1,5,2,2,24.0491689368971,0.330449268257322
EXC-ExelonGen,3,1,2,2,2,47.8167351324263,0.67561554458644
EXC,3,1,5,2,2,21.4675974700134,0.496984222440717
F-Hertz,5,1,2,1,1,124.882098445679,3.82683969943056
FALSE,3,1,2,1,1,47.4807875781781,1.35314486996444
FCH-LP,4,1,5,2,1,125.834098705327,2.48310258712301
FCS,2,1,4,2,2,116.955703926668,3.5235730032456
FDC,2,1,3,2,2,173.813023818803,6.02193830968181
FDX,3,1,3,2,2,23.8326018757056,0.745475500857252
FE,2,1,2,2,2,50.3354735750163,0.731243077333569
FFHCN,0,1,2,2,2,99.8489697941431,0.243225324440524
FMC,3,1,3,1,1,39.5433442887936,0.510384606145322
FON-CapCorp,5,1,3,1,1,137.520932671098,5.26887715483447
G,1,1,1,2,2,23.9974879288071,0.790983932976992
GCI,0,1,1,1,1,101.871403099036,3.31664722829344
GD,4,1,4,2,1,12.0330600052062,0.0833995329296629
GE-CapCorp,1,1,3,1,1,32.52908,0.4505361
GENZ,2,1,2,2,2,36.8303174785797,0.804385985616541
GIS,0,1,1,2,2,19.1824790276508,0.493182028239764
GLM,5,1,4,2,2,14.7735271737399,0.699339320774142
GLW,4,1,4,2,2,26.2649909119457,0.501271752248197
GMT,1,1,3,2,2,30.2219854218325,0.56205472034643
GPS,1,1,2,2,2,32.9726482461184,1.51852485198483
GR,4,1,3,2,2,5.51605072077436,0.216897590798345
GS,4,1,4,2,2,49.6806876883277,1.12747733696255
GT,3,1,3,2,2,140.412890436787,2.53734964854069
HAL,2,1,5,2,2,16.9915759730228,0.472138492910442
HAS,3,1,3,2,2,31.8684964323326,1.77811655141555
HCA,1,1,0,2,2,107.221951709597,2.66188658979186
HCN,0,1,1,2,2,41.1854986859469,1.0601904550209
HCR,0,1,0,2,2,68.87872,2.807692
HD,4,1,3,2,2,12.6380300249071,0.581046464661515
HIG,4,1,4,1,1,36.3060168966854,0.955415108147093
HNZ,1,1,0,2,2,69.5881327456829,1.91207490101639
HON,2,1,4,2,2,9.76023844628634,0.32914408576598
HOT,2,1,2,2,2,27.3751800123821,0.830857803514383
HPQ,1,1,1,2,2,31.0835121290736,0.688610281084254
HUM,1,1,2,2,2,27.9711038303603,0.557509395056748
IBM,2,1,2,2,2,19.9455900145619,0.382328072554841
IGT,5,1,4,2,1,110.364350191872,1.57902061461745
INTC,3,1,2,2,1,14.1294890191448,0.584368834205714
IP,1,1,2,2,2,33.4935168788115,0.954510344597457
IPG,2,1,4,2,2,31.2533088227109,0.853232567660281
